# Total structure factor for atom types: 
# { 1(5) }in system.
# Q-values       P(Q)  
2.094395102393195e-02       1.141759067529942e+02
4.188790204786390e-02       9.861852243344325e+01
6.283185307179585e-02       9.960777585988906e+01
8.377580409572781e-02       9.451952817879528e+01
1.047197551196598e-01       9.378019403309227e+01
1.256637061435917e-01       9.054068532519346e+01
1.466076571675237e-01       8.674420280076539e+01
1.675516081914556e-01       8.533137434888755e+01
1.884955592153876e-01       8.120564778111314e+01
2.094395102393195e-01       7.658512872816058e+01
2.303834612632515e-01       7.303164608170232e+01
2.513274122871834e-01       6.887664921661427e+01
2.722713633111154e-01       6.480690933495637e+01
2.932153143350473e-01       6.034413092654879e+01
3.141592653589793e-01       5.700232141679467e+01
3.351032163829112e-01       5.315518549575484e+01
3.560471674068432e-01       5.006492418792220e+01
3.769911184307752e-01       4.636861948531461e+01
3.979350694547071e-01       4.339982835225915e+01
4.188790204786391e-01       4.018772156471800e+01
4.398229715025710e-01       3.738185964925459e+01
4.607669225265030e-01       3.493158918655489e+01
4.817108735504349e-01       3.240127261957104e+01
5.026548245743668e-01       2.988985770785690e+01
5.235987755982988e-01       2.791900247795972e+01
5.445427266222308e-01       2.604550161850781e+01
5.654866776461627e-01       2.421018815146964e+01
5.864306286700947e-01       2.263818326590858e+01
6.073745796940266e-01       2.100636713445081e+01
6.283185307179586e-01       1.961650467650378e+01
6.492624817418905e-01       1.833596703503175e+01
6.702064327658225e-01       1.715378430420743e+01
6.911503837897545e-01       1.600816430904313e+01
7.120943348136863e-01       1.496748457343884e+01
7.330382858376183e-01       1.404304737229427e+01
7.539822368615503e-01       1.319543004616714e+01
7.749261878854823e-01       1.236485863041364e+01
7.958701389094142e-01       1.161547895246013e+01
8.168140899333461e-01       1.097865779604373e+01
8.377580409572781e-01       1.033818061669449e+01
8.587019919812100e-01       9.740441093317957e+00
8.796459430051420e-01       9.223101674455732e+00
9.005898940290740e-01       8.735927077831898e+00
9.215338450530060e-01       8.226356032794774e+00
9.424777960769378e-01       7.842156477417455e+00
9.634217471008698e-01       7.414646667164361e+00
9.843656981248018e-01       7.093256471567610e+00
1.005309649148734e+00       6.729696039552762e+00
1.026253600172666e+00       6.406148053973721e+00
1.047197551196598e+00       6.121066181165949e+00
1.068141502220530e+00       5.850224894174569e+00
1.089085453244462e+00       5.601342893574735e+00
1.110029404268394e+00       5.321549844263494e+00
1.130973355292325e+00       5.135763540163972e+00
1.151917306316257e+00       4.915383076190483e+00
1.172861257340189e+00       4.719143107406491e+00
1.193805208364121e+00       4.533679294761860e+00
1.214749159388053e+00       4.360774278596887e+00
1.235693110411985e+00       4.194710819922668e+00
1.256637061435917e+00       4.049079522609167e+00
1.277581012459849e+00       3.902673708048034e+00
1.298524963483781e+00       3.749055663946363e+00
1.319468914507713e+00       3.627032121291711e+00
1.340412865531645e+00       3.527651940520823e+00
1.361356816555577e+00       3.395200109365788e+00
1.382300767579509e+00       3.287973061600608e+00
1.403244718603441e+00       3.184840915695452e+00
1.424188669627373e+00       3.084777963342493e+00
1.445132620651305e+00       2.996147652518744e+00
1.466076571675237e+00       2.909020991071606e+00
1.487020522699169e+00       2.825776183478390e+00
1.507964473723101e+00       2.757663738167599e+00
1.528908424747033e+00       2.671409864535456e+00
1.549852375770965e+00       2.590818479748220e+00
1.570796326794896e+00       2.533265570725738e+00
1.591740277818828e+00       2.464288702303227e+00
1.612684228842760e+00       2.394747482336670e+00
1.633628179866692e+00       2.337767801477038e+00
1.654572130890624e+00       2.283040836171319e+00
1.675516081914556e+00       2.220743738334506e+00
1.696460032938488e+00       2.174884031876553e+00
1.717403983962420e+00       2.124766191986146e+00
1.738347934986352e+00       2.073719980904898e+00
1.759291886010284e+00       2.028812720792315e+00
1.780235837034216e+00       1.985746067354005e+00
1.801179788058148e+00       1.946173883458300e+00
1.822123739082080e+00       1.898366030385208e+00
1.843067690106012e+00       1.863425479508769e+00
1.864011641129944e+00       1.820013161764320e+00
1.884955592153876e+00       1.784698948674608e+00
1.905899543177808e+00       1.749633406844318e+00
1.926843494201740e+00       1.713898076043949e+00
1.947787445225672e+00       1.681163543916237e+00
1.968731396249604e+00       1.654100885169485e+00
1.989675347273536e+00       1.623211150314495e+00
2.010619298297467e+00       1.596640928478250e+00
2.031563249321399e+00       1.564087478039256e+00
2.052507200345331e+00       1.539247035193108e+00
2.073451151369263e+00       1.508964921935824e+00
2.094395102393195e+00       1.481070516116489e+00
2.115339053417127e+00       1.461757348575090e+00
2.136283004441059e+00       1.436276549606287e+00
2.157226955464991e+00       1.415807136892733e+00
2.178170906488923e+00       1.392981332571383e+00
2.199114857512855e+00       1.367908349362023e+00
2.220058808536787e+00       1.351543718306210e+00
2.241002759560719e+00       1.325307213102114e+00
2.261946710584651e+00       1.307721288092023e+00
2.282890661608583e+00       1.289161958607558e+00
2.303834612632515e+00       1.270985676172178e+00
2.324778563656447e+00       1.255401931656344e+00
2.345722514680379e+00       1.231800420679925e+00
2.366666465704311e+00       1.222021552044828e+00
2.387610416728243e+00       1.202586761629217e+00
2.408554367752175e+00       1.187649645137531e+00
2.429498318776107e+00       1.168206185386439e+00
2.450442269800039e+00       1.158472066775035e+00
2.471386220823971e+00       1.144326029857725e+00
2.492330171847903e+00       1.127299342413558e+00
2.513274122871834e+00       1.118267345550439e+00
2.534218073895766e+00       1.102121223186175e+00
2.555162024919698e+00       1.086285463562450e+00
2.576105975943630e+00       1.073825387762828e+00
2.597049926967562e+00       1.062319558032965e+00
2.617993877991494e+00       1.051580817118057e+00
2.638937829015426e+00       1.038753444437151e+00
2.659881780039358e+00       1.028411420053515e+00
2.680825731063290e+00       1.018288436921887e+00
2.701769682087222e+00       1.006948771448281e+00
2.722713633111154e+00       9.963539727547110e-01
2.743657584135086e+00       9.860811240962322e-01
2.764601535159018e+00       9.755083049622556e-01
2.785545486182950e+00       9.659719943081760e-01
2.806489437206882e+00       9.563008762916874e-01
2.827433388230814e+00       9.463784015206856e-01
2.848377339254745e+00       9.391896695994085e-01
2.869321290278677e+00       9.296553333407450e-01
2.890265241302609e+00       9.197632174189626e-01
2.911209192326541e+00       9.128520901211254e-01
2.932153143350473e+00       9.053021339273211e-01
2.953097094374405e+00       8.974193304830992e-01
2.974041045398337e+00       8.885055277264643e-01
2.994984996422269e+00       8.808380633637906e-01
3.015928947446201e+00       8.755619685139305e-01
3.036872898470133e+00       8.670264859426244e-01
3.057816849494065e+00       8.597492204457722e-01
3.078760800517997e+00       8.530521881198169e-01
3.099704751541929e+00       8.464961164441427e-01
3.120648702565861e+00       8.372348242424450e-01
3.141592653589793e+00       8.329674684095647e-01
3.162536604613725e+00       8.267651643260202e-01
3.183480555637657e+00       8.173195751007918e-01
3.204424506661589e+00       8.132443150917895e-01
3.225368457685521e+00       8.095267234783033e-01
3.246312408709453e+00       8.026574160453951e-01
3.267256359733385e+00       7.954786813152659e-01
3.288200310757317e+00       7.901291023966215e-01
3.309144261781249e+00       7.844611287525914e-01
3.330088212805181e+00       7.803488376284649e-01
3.351032163829113e+00       7.716709354776304e-01
3.371976114853044e+00       7.702466817531329e-01
3.392920065876976e+00       7.660022180304678e-01
3.413864016900908e+00       7.609998899886815e-01
3.434807967924840e+00       7.553443365988991e-01
3.455751918948772e+00       7.507948501435335e-01
3.476695869972704e+00       7.472489538240579e-01
3.497639820996636e+00       7.429576678337122e-01
3.518583772020568e+00       7.382855980110726e-01
3.539527723044500e+00       7.341374400599758e-01
3.560471674068432e+00       7.315430059267793e-01
3.581415625092364e+00       7.269809356629151e-01
3.602359576116296e+00       7.251318683031739e-01
3.623303527140228e+00       7.194074962872615e-01
3.644247478164160e+00       7.160375859282091e-01
3.665191429188092e+00       7.105754032883876e-01
3.686135380212024e+00       7.053156813194875e-01
3.707079331235956e+00       7.058250031903639e-01
3.728023282259887e+00       7.029811528788267e-01
3.748967233283819e+00       6.995701252551525e-01
3.769911184307751e+00       6.956071742402733e-01
3.790855135331683e+00       6.936267711661257e-01
3.811799086355615e+00       6.895249547543858e-01
3.832743037379547e+00       6.889840452686108e-01
3.853686988403479e+00       6.857076734845162e-01
3.874630939427411e+00       6.838284053302497e-01
3.895574890451343e+00       6.811482929791622e-01
3.916518841475275e+00       6.777267760290921e-01
3.937462792499207e+00       6.770065634824209e-01
3.958406743523139e+00       6.750262387005305e-01
3.979350694547071e+00       6.724484367035136e-01
4.000294645571003e+00       6.699807909540777e-01
4.021238596594935e+00       6.637303949767003e-01
4.042182547618867e+00       6.678422991627725e-01
4.063126498642799e+00       6.659753114032547e-01
4.084070449666731e+00       6.646006501418232e-01
4.105014400690663e+00       6.624079713462189e-01
4.125958351714595e+00       6.618181785150429e-01
4.146902302738527e+00       6.612626479816172e-01
4.167846253762459e+00       6.596400327460601e-01
4.188790204786391e+00       6.596919842980622e-01
